Date,Open,High,Low,Close,Adj Close,Volume
2019-04-15,29.266666,29.556667,29.129999,29.490000,27.328423,1104600
2019-04-16,29.613333,29.950001,29.486668,29.916668,27.723814,1610400
2019-04-17,29.936666,30.120001,29.840000,30.066668,27.862822,1371300
2019-04-18,30.093332,30.186666,29.933332,29.996668,27.797953,1669200
2019-04-22,29.973333,30.036667,29.766666,29.910000,27.717636,1426500
2019-04-23,29.920000,30.063334,29.783333,29.883333,27.692923,3754800
2019-04-24,29.963333,30.430000,29.323334,29.726667,27.547743,2822700
2019-04-25,29.616667,29.860001,29.406668,29.813334,27.628057,2203200
2019-04-26,29.876667,30.030001,29.586666,29.953333,27.757788,2374500
2019-04-29,30.000000,30.533333,29.946667,30.483334,28.248947,1884600
2019-04-30,30.480000,30.773333,30.446667,30.733334,28.480619,2121600
2019-05-01,30.730000,31.106667,30.543333,30.773333,28.517689,2148600
2019-05-02,30.816668,30.983334,30.660000,30.753332,28.499153,2069400
2019-05-03,30.870001,30.983334,30.676666,30.706667,28.455908,1262100
2019-05-06,30.573334,30.973333,30.350000,30.910000,28.644335,1173300
2019-05-07,30.696667,30.830000,30.150000,30.299999,28.079054,1366200
2019-05-08,30.270000,30.523333,30.190001,30.330000,28.106850,1101600
2019-05-09,30.049999,30.459999,29.860001,30.386667,28.159363,1200600
2019-05-10,30.293333,30.866667,30.133333,30.836666,28.576378,1781100
2019-05-13,30.440001,30.440001,30.070000,30.299999,28.079054,1851000
2019-05-14,30.383333,30.730000,30.360001,30.389999,28.162455,1772100
2019-05-15,30.226667,30.506666,30.086666,30.253332,28.035803,1195500
2019-05-16,30.290001,30.403334,30.049999,30.309999,28.088314,1780200
2019-05-17,30.230000,30.353333,30.056667,30.100000,27.893711,2468400
2019-05-20,30.000000,30.150000,29.933332,30.086666,27.881355,1247700
2019-05-21,30.293333,30.503332,30.286667,30.426666,28.196430,1659300
2019-05-22,30.270000,30.350000,30.023333,30.120001,27.912249,1775100
2019-05-23,29.823334,30.160000,29.726667,30.006666,27.807219,1627500
2019-05-24,30.139999,30.303333,29.936666,30.010000,27.810307,983100
2019-05-28,30.036667,30.416668,29.986668,29.990000,27.791773,2014500
2019-05-29,30.006666,30.146667,29.873333,30.113333,27.906067,1525500
