Beta,b1,b2,b3,b4,b5,b6,b7,b8,c1,c2,c3,c4,c5,mu_SV,mu_EPI,mu_PR,mu_IR,mu_RS,alpha,rho,eta,N,tau,gamma,loglik,loglik.se
1.01,1.846439032505129,0.5342513220044804,1.7368542399854763,0.03644936617046088,0.9920020416353525,1.1351012514756176,16.180741045726034,18.661809704580257,3.3374551441501246,0.16134865782421537,1.8826637444933292,207.66641624198996,0.4046603167328325,0.5,0.1307875892486953,0.93,0.98,0.5,0.4,0.9461108207168129,0.8306604160631008,2269675,0.6927212436915032,0.9811648087738801,-1376.6747718096824,0.005602105844752928
1.01,0.7826965959718617,0.6647134551817677,0.9588796843848943,0.40574493801158257,0.6649763114765928,1.062986129057704,0.6485824165119138,0.7336041617852948,0.4300067442891125,0.36978462267071577,0.565828193605937,0.27810655275424245,0.9161882729915642,0.5,0.4935332925517687,0.93,0.98,0.5,0.4,0.9373330280679935,0.9794340406122123,2269675,0.692618764665553,0.8063564767012275,-1376.7260474443779,0.020848076300944984
1.01,1.6867114095591602,0.48813139864504146,1.4096407376187248,0.058759231079272195,0.8186741346880496,1.0103781727844143,13.938038755306493,20.705574337557167,0.4391077196849994,1.6609067611320538,0.1674363026651536,286.34817792370103,39.312833747287165,0.5,0.1166568982161278,0.93,0.98,0.5,0.4,0.9599739862032244,0.9611736054763433,2269675,0.677686514216375,0.9810434529974108,-1377.3053662001241,0.004941091762533578
1.01,2.3349928697242324,0.27359415706135687,2.0563846301077735,0.018009634199361767,0.9060196491640099,1.2112862010215604,23.815871145563,27.999759041514167,3.6194651205374577,0.4061996773869567,0.14775550105352694,316.892394959814,23.168009063291073,0.5,0.10149716940730409,0.93,0.98,0.5,0.4,0.9589302299468816,0.8156645037921032,2269675,0.6720343975492917,0.9882826274902745,-1378.8003829003053,0.008730955028274071
1.01,1.6411766061156718,0.39588446787185,1.5576822760837525,0.09390410807809584,0.7543811977499946,1.1000704081186745,12.176544067296181,18.768664646254177,1.9632653907469582,2.3212594860194002,1.1730245427344141,163.80825111839115,3.807010154334187,0.5,0.1296189215950649,0.93,0.98,0.5,0.4,0.8779908556394338,0.9643292204275535,2269675,0.5522895733547352,0.9820812158854292,-1379.2754554990343,0.011098489685770341
1.01,1.5668369289740576,0.437274093776016,1.5876835300245016,0.06675941718336126,0.7373756524291457,1.1785282945819435,8.382735009387163,10.811715015488112,0.48192185834242623,0.2040502500955327,0.6211678296247802,156.66347673546613,1.0733121864914505,0.5,0.14221008202732374,0.93,0.98,0.5,0.4,0.8808158075271434,0.9341885546374563,2269675,0.628432849563626,0.9628610026482628,-1379.3574732887166,0.005233851262497898
1.01,1.901147947466646,0.321610145089647,1.5510005180582522,0.006791084337392447,1.0820404744074887,1.2513675562370545,20.163846069628093,21.436793172133658,22.80870139478666,1.2905934785806934,0.021135586215935236,265.9525824041443,7.490671011077306,0.5,0.1214664468626464,0.93,0.98,0.5,0.4,0.9016613249377522,0.9453147874695389,2269675,0.5623272793567247,0.9852864026232531,-1379.6439169659857,0.005468582111606663
1.01,2.641750124371924,0.08959238950729384,2.1022365054792616,0.05178763986317388,1.2022309788390826,1.9500261068280884,128.55212336139323,342.4037603568638,34.23055449340942,2.8796187246948306,5.064690329357325,222.5598459219631,0.7245553326830333,0.5,0.0923016430647574,0.93,0.98,0.5,0.4,0.7779449229200432,0.882199899716032,2269675,0.5029468032982274,0.9995767252618867,-1381.1894540833093,0.01134600150319741
1.01,1.4325856963027959,0.4238848468148568,1.3860487464690683,0.15919288981641377,0.6646173367722537,1.252156762034071,5.4310092550712215,6.389009203219168,2.884884526297048,3.901492471978574,0.8637431681675942,129.5842026003606,1.5889095910257836,0.5,0.15068910869477353,0.93,0.98,0.5,0.4,0.9982205422765833,0.9921934356512399,2269675,0.6848900708072457,0.9356095935997603,-1381.5922676382786,0.009833634784315662
1.01,1.3772217912165778,0.43283839631138354,1.244752470644193,0.2143257191619507,0.688439498950577,1.1035586404788138,7.702383356835062,7.530861268197515,0.17875421513441556,5.034547308984642,2.648250800456532,177.4612281817175,0.5719296952870073,0.5,0.16351388169912895,0.93,0.98,0.5,0.4,0.9987413360628246,0.9920051576970091,2269675,0.6280636894861931,0.9464425487513617,-1381.9768460059177,0.005592854388402454
1.01,2.664593051097307,0.4018405794286214,2.2544315673504083,0.008601401069760487,1.0061431025342162,1.7098417813861515,23.08919051504428,37.10997899071016,2.9290940237183483,3.446614557989079,0.23609217086825124,223.30891007692261,35.31062113126487,0.5,0.10043940917117958,0.93,0.98,0.5,0.4,0.9134841287477816,0.7522685006028879,2269675,0.5649173136133616,0.9884048915299175,-1382.200305698977,0.009080312187074537
1.01,1.6729995245781586,0.42513042631115,1.5608577102490198,0.0736019204258114,0.8792231643610472,1.1201374873957168,7.394364485875411,9.505575023312993,0.46385539025904315,0.40285778455121996,1.287689056505545,121.5561160349699,1.184240023156463,0.5,0.14685605485185463,0.93,0.98,0.5,0.4,0.8543030743001009,0.9040164296327732,2269675,0.5912141311248816,0.9533208318079237,-1382.2754856877,0.006069240838904143
1.01,1.7594449603734768,0.7063594971117417,1.721654469519175,0.0384831868916767,0.9860254891965056,1.6295027631564167,7.72730313320311,8.713414273911702,8.40036687269847,0.10645946514540874,1.359878773931501,148.06317397637878,9.297064828322991,0.5,0.1349568069680301,0.93,0.98,0.5,0.4,0.9670100429419374,0.7952339281039427,2269675,0.6667201530116245,0.9376675284935326,-1382.8012513340884,0.006254581094772463
1.01,2.2505642853749,0.39402818143777857,1.8828427812155661,0.05557189311023395,1.0394013923252625,1.3806082364937953,14.788209351260285,20.208652972850135,0.04686954454844167,3.7171974168016657,0.5607583674896822,135.94713828825084,8.935140827275873,0.5,0.12545748362377612,0.93,0.98,0.5,0.4,0.8185477387260096,0.7835868349081276,2269675,0.5164527190004956,0.9772623174521304,-1382.9733375897545,0.012339309243571916
1.01,1.6773254136947184,0.5629096134665819,1.651418285492684,0.08901795591554595,0.7762902513034354,1.5903283347290498,4.032260015407049,5.1745097688860255,1.5450538404708125,0.686764298965593,0.1364903467106122,157.76255934168108,7.43819027251173,0.5,0.1287918473080591,0.93,0.98,0.5,0.4,0.9941499231492137,0.860256893372792,2269675,0.7501423886093606,0.8977995341499505,-1383.1907890523037,0.006518115388781873
1.01,1.3880238594278131,0.8045762087722543,1.2953416861425453,0.309381679223195,0.7111081043266326,1.5296075527931854,2.808881220337677,3.7975217255376594,0.05810935723936262,0.3735277521071344,0.5437466724913713,70.55403865439766,0.050098434799213096,0.5,0.15972144003361266,0.93,0.98,0.5,0.4,0.9934400731815144,0.8464084323637813,2269675,0.7093876757262564,0.8481543742625309,-1383.2194626482894,0.008130374223812756
1.01,1.6341174805785217,0.6247428767957431,1.6282494260206175,0.13381183436932886,0.7578069803009666,1.664465690068501,4.649664754300084,5.78233121238757,5.64357482948608,0.5647801361903138,0.27775009625415636,106.80621080750007,6.554040891328447,0.5,0.13869884643726282,0.93,0.98,0.5,0.4,0.9458025166935601,0.8403730580875417,2269675,0.6733923919850856,0.9077938158759266,-1383.2318007892977,0.007190271798199897
1.01,1.7520571911301526,0.5530207547701881,1.7528573307176814,0.04994278930929394,0.8837875048227388,1.843263679195311,5.884713851592409,6.1550153730767985,4.2268951855898145,8.438463670700974,2.556185113293737,98.92199844600063,0.4460112249170381,0.5,0.1268123823283277,0.93,0.98,0.5,0.4,0.9751446778508919,0.8320315182344323,2269675,0.7272748711747606,0.9255692014252033,-1383.7229892779337,0.0049059750635982256
1.01,2.0976937249591696,0.38134287773750714,2.0868973675050406,0.010973673184334135,0.8199423379119789,1.5356328284171856,8.689319388328576,8.713269063132719,0.3440585920477209,0.04018734954018796,0.29252385425228905,146.682322806899,1.494598372737403,0.5,0.12381903906156654,0.93,0.98,0.5,0.4,0.9248998987721669,0.8116744666712729,2269675,0.6039893471673415,0.9470884802502608,-1383.9410726635758,0.00711005110967776
