"user.self" "sys.self" "elapsed" "user.child" "sys.child"
"time1" 0.922999999999988 0.028 12.4079999999999 0 0
"time2" 37.947 1.838 873.751 0.447 0.481
"time3" 54.086 2.094 1223.691 0.00800000000000001 0.00900000000000012
