Beta,mu_EI,mu_IR,rho,k,eta,N,loglik,loglik.se
51.46504339171766,1.5,2,0.3380969547375242,10,0.05788019249194274,38000,-103.87339539003708,0.04388880327259163
51.46504339171766,1.5,2,0.3380969547375242,10,0.05788019249194274,38000,-103.87339539003708,0.043888803272591634
52.29958297937465,1.5,2,0.3462782437480436,10,0.056928646174628575,38000,-103.89336778602879,0.030893424864407496
52.29958297937465,1.5,2,0.3462782437480436,10,0.05692864617462857,38000,-103.8933677860288,0.03089342486440749
52.713035058142864,1.5,2,0.35592943700749724,10,0.056134407839345195,38000,-103.90984262303067,0.039321560926774496
52.713035058142864,1.5,2,0.35592943700749724,10,0.05613440783934519,38000,-103.90984262303068,0.03932156092677449
49.37886134662468,1.5,2,0.3415351111563034,10,0.05917584459743967,38000,-103.9111523340113,0.04358055433193269
49.37886134662468,1.5,2,0.3415351111563034,10,0.05917584459743967,38000,-103.9111523340113,0.04358055433193269
50.34610339325948,1.5000000000000002,2,0.33556061369088896,10.000000000000002,0.05884332600068462,38000,-103.91890512149018,0.02581167841236353
50.34610339325948,1.5000000000000002,2,0.33556061369088896,10.000000000000002,0.05884332600068462,38000,-103.91890512149018,0.02581167841236353
54.26444645775062,1.5,2,0.3572364949705249,10,0.0546086036877413,38000,-103.93255263720228,0.02774702573963969
54.26444645775062,1.5,2,0.3572364949705249,10,0.0546086036877413,38000,-103.93255263720228,0.027747025739639698
53.55008516441885,1.5,2,0.3533126813377092,10,0.05527583346698727,38000,-103.96721742977147,0.031627473208763524
53.55008516441885,1.5,2,0.3533126813377092,10,0.05527583346698727,38000,-103.96721742977148,0.03162747320876352
55.62898077420147,1.5,2,0.36723459163403555,10,0.05381177810337302,38000,-103.99886334555546,0.03558866383504946
55.62898077420147,1.5,2,0.36723459163403555,10,0.05381177810337302,38000,-103.99886334555546,0.03558866383504946
50.88526647477953,1.5,2,0.3559245108479701,10,0.05763721375654951,38000,-104.0162385800784,0.03966884930336306
50.88526647477953,1.5,2,0.3559245108479701,10,0.05763721375654951,38000,-104.01623858007841,0.03966884930336306
55.17007662015483,1.5,2,0.38336375873132367,10,0.0532585833106426,38000,-104.01765325952059,0.060836586518053515
55.17007662015483,1.5,2,0.38336375873132367,10,0.0532585833106426,38000,-104.0176532595206,0.06083658651805351
52.67731849713466,1.5,2,0.3678438617301003,10,0.05486022315717633,38000,-104.02102820544782,0.03211279649465526
52.67731849713466,1.5,2,0.3678438617301003,10,0.054860223157176334,38000,-104.02102820544782,0.03211279649465526
52.77018180301896,1.5,2,0.36469012612304574,10,0.0558063655278474,38000,-104.02974322556831,0.03565000708570321
52.77018180301896,1.5,2,0.36469012612304574,10,0.0558063655278474,38000,-104.02974322556832,0.03565000708570321
56.03568246258601,1.5,2,0.3586033484652149,10,0.053138189487363,38000,-104.0351010223045,0.04559105007188172
56.03568246258601,1.5,2,0.3586033484652149,10,0.053138189487363006,38000,-104.0351010223045,0.045591050071881724
56.43166371937236,1.5,2,0.37367379183423105,10,0.05264394607729798,38000,-104.05311142372148,0.03626144316178633
56.43166371937236,1.5,2,0.37367379183423105,10,0.052643946077297984,38000,-104.05311142372149,0.03626144316178633
54.25032015236944,1.5,2,0.3735228740639866,10,0.05481312308901023,38000,-104.0889736854296,0.03185777072437473
54.25032015236944,1.5,2,0.3735228740639866,10,0.05481312308901023,38000,-104.08897368542961,0.03185777072437473
60.691914511120785,1.5,2,0.39948226641704015,10,0.04921319720727742,38000,-104.18470891891532,0.03776853809693697
60.691914511120785,1.5,2,0.39948226641704015,10,0.049213197207277425,38000,-104.18470891891532,0.03776853809693697
54.60431777966527,1.5,2,0.3857104572245664,10,0.05433879549555574,38000,-104.2219792471355,0.02824538333779033
54.60431777966527,1.5,2,0.3857104572245664,10,0.05433879549555574,38000,-104.2219792471355,0.028245383337790333
63.95388888940406,1.5,2,0.4162663564097667,10,0.04698003430346501,38000,-104.2304242690623,0.04597486639616151
63.95388888940406,1.5,2,0.4162663564097667,10,0.04698003430346501,38000,-104.2304242690623,0.045974866396161516
58.490224646801884,1.5,2,0.3885803895107616,10,0.05197664597524273,38000,-104.243567416251,0.024949227303716
58.490224646801884,1.5,2,0.3885803895107616,10,0.05197664597524273,38000,-104.24356741625101,0.024949227303716005
67.20591119231634,1.5,2,0.4303423417827539,10,0.04426273980022131,38000,-104.28666385973324,0.02432295900870698
67.20591119231634,1.5,2,0.4303423417827539,10,0.044262739800221315,38000,-104.28666385973325,0.024322959008706988
30,1.5,2,0.5,10,0.05,38000,-157.57090507351222,0.5196531629128694
